preponderance	（数量或力量上的）优势 The preponderance of
rendition	表演，演唱 n.[ph]deliver a powerful rendition of the song[ph]rendition of the character[ph]a flawless rendition of
renew	使更新，使恢复；重新开始
renewal	更新；复兴 Cn.[ph]a renewal of a contract/a subscription[ph]go ahead with the renewal of their lease[st]The magazine offers an automatic renewal of subscriptions unless canceled.
renewable	可再生的[ph]renewable energy/resources/materials
renounce	声明放弃[ph]renounce citizenship/a claim/violence
renunciation	放弃；宣布终止[ph]renunciation of citizenship/the throne/power/worldly possessions
renovate	翻新;更新[ph]renovate a house/an old building
renovation	修复，整修[ph]home/office renovation[ph]undergo a major renovation[ph]invest in/plan the renovation of the old house
rent	租金，租费
rentable	可出租的 adj.[ph]rentable property/equipment
rental	租金额；租赁，出租 n.[ph]return the rental car[ph]book a vacation rental for holiday[ph]provides equipment rental services for events[syn]"Rental"指的是租用某物或支付租金的过程和费用。"Lease"侧重于长期租赁的合同，强调租赁方和承租方之间的法律约定和权益。
reorient	重新确定方向[ph]reorient oneself[ph]reorient a business strategy
repel	击退，驱逐[ph]repel an enemy/insects/negative energy[syn]"Repel"强调击退、抵制或驱逐，以防止或抵御某种攻击、入侵或威胁。"Resist"侧重于抵抗外部的力量、压力或攻击，以保持自身的独立、权益或原则。"Deter"着重于通过威慑或威胁来阻止或抑制某人或某物的行为或意图，通常涉及对未来行动的预防措施。
repertoire	（剧团等）常备剧目，保留剧目[ph]a diverse repertoire of songs[ph]an impressive repertoire of Shakespearean plays[ph]musical repertoire[ph]cooking ~
repertory	全部剧目；储备，库存；仓库[mean]剧目表（频率：70%）剧团（频率：30%）[st]The repertory of the theater includes ...
repetition	重复
replace	代替，取代
replenish	补充，把...再备足 v.[ph]replenish its shelves with sth.[ph]replenish his energy by taking a nap[ph]replenish its inventory to meet the increasing demand.
replica	复制品
replicate	复制
represent	代表；描绘，表现
representation	表示，表现
representative	代表
repress	镇压,抑制[ph]repress dissent[ph]repress one's anger/memories
reproductive	用于描述与生殖或繁殖有关的事物、过程或特征。adj.[ph]reproductive organs/systems[ph]reproductive cycle of sth.
reproduce	繁殖，再生；复制
reproduction	复制品；繁殖
reptile	爬行动物类（reptiles） n.[ph]reptile species[st]Snakes, lizards, and turtles are examples of reptiles
repulse	击退 [ph]repulse an attack/sb's advances
repute	名声 n./v.[ph]in good repute for ...[st]The company is held in high repute for its excellent customer service.[ph]be reputed to do 被认为
reputed	名誉好的，被称为...的，有...名气的
disrepute	坏名声，不光彩 n.[ph] sth. put sth./sb. in disrepute[ph]brought his reputation into/in disrepute[ph]bring into disrepute
rescue	援救，救援
resemble	像，类似
resemblance	相似，酷肖
resent	愤怒，怨恨 v.[ph]resents sb. for sth.[ph]harbors resentment towards sb.
resentful	忿恨的，怨恨的[ph]be resentful of/about sth./sb.
reserve	储备；保留，预定
be reserved to	留作...只用
reservoir	水库, 蓄水池[ph]a nearby reservoir[ph]a new reservoir of crude oil
reside	居住[ph]reside in a town[ph]reside with sb,
resident	居民
residential	住宅的，与居住有关的 adj.[ph]residential area/property
residence	居住，住处 n.[ph]place of residence[ph]His residence is located in a quiet neighborhood[ph]moved to a new residence in the suburbs[ph]permanent residence
residue	剩余，残余，渣滓[ph]a residue of oil[ph]removes residues from the kitchen countertops[ph]chemical residue[ph]residue on surfaces
residual	剩余的，残留的
resist	抵抗[ph]resist temptation[ph]resist the urge to do[ph]resist the charm
resistant	抵抗的，有抵抗力的[ph]heat/water-resistant[st]The fabric used for the jacket is resistant to tearing.[st]Some bacteria have become resistant to antibiotics.
resistance	反抗，抵抗；抵抗力，阻力[ph]has a resistance to corrosion[ph]electrical resistance 电阻[ph]immune resistance
irresistible	不可抵抗的, 不能压制的
resolute	坚决的，毅然的
resolve	解决
resolution	坚定;决定,解决;分辨率,解析度
resonance	共鸣[ph]The singer's voice had a deep resonance[st]The bridge collapsed due to the resonance caused by the strong winds.[ph]emotional/cultural resonance
resort	旅游胜地[ph]ski/beach resort
resource	资源，财力；办法，智谋
respect	尊敬，敬重
aspect	（问题等）方面；样子，外表
disrespect	失礼，无礼 n./v.[ph]show ~ to/for sb.
respective	分别的，各自的
respectively	分别地，各个地
respiration	呼吸[mean]呼吸（频率：100%）：指生物体通过吸入氧气和排出二氧化碳来进行气体交换的生理过程。在动物中，呼吸通常涉及氧气的摄入和二氧化碳的释放，以供给身体所需的能量。[ph]aerobic/cellular respiration[st]The cells in the body undergo respiration to produce energy for various physiological processes.
respiratory	呼吸的[ph]respiratory system
respond	回答，反应
correspond	符合，协调；通信
correspondence	通信，信件[ph]business/personal correspondence[ph]correspondence address[ph]maintain a regular correspondence
corresponding	相应的
responsible	有责任的
responsibility	责任，职责
irresponsible	不负责任的，不可靠的[ph]irresponsible behavior/attitude/remarks
responsive	响应的，做出相应的[mean]反应快的（频率：70%）：指能够迅速回应或做出反应的人或事物。敏感的（频率：30%）：指对外界刺激或变化具有敏感性或易受影响的人或事物。[st]The customer service representative was very responsive[ph]a responsive design[st]She is a responsive leader
restore	使恢复；整修，修复
restoration	恢复；修复[ph]The restoration of the ancient temple/the ecosystem/the painting
restraint	抑制，克制 n.[ph]showed great restraint in[ph]imposed restraints on[ph]self-restraint
restrain	克制，抑制[ph]restrain oneself/anger/inflation[ph]restrain someone/something from (doing) something
unrestrained	无限制的 [mean]不受限制的（频率：70%）：指没有受到限制、约束或控制的，自由发展或表达的。放纵的（频率：30%）：指行为或情感没有受到限制或约束，过度自由或放任的。[ph]danced with unrestrained joy[ph]The artist's unrestrained imagination
restrict	限制，约束
restriction	限制，约束
restrictive	限制性的
unrestricted	无限制的，自由的[ph]unrestricted access/movement/trade
retail	零售的
retailer	零售商
tailor	裁缝师
retain	保持，保留
retentive	保留的，有记忆的[mean]记性好的（频率：70%）：指具有良好的记忆力或保持能力的，容易记住或保持信息、知识或经验。吸附性强的（频率：30%）：指物质具有较强的吸附或保持其他物质的能力。[ph]has a retentive memory[st]The sponge has a retentive capacity for water and can absorb and hold a large amount.[ph]the retentive learning methods 记忆学习方法
retire	退休，引退
retirement	退休
retool	将机械重新整备，重组[ph]retool a factory/a production line
retract	缩回，撤回[ph]retract an offer
retreat	消退，退却
retrieve	重新找回，取回；找回猎物
retriever	能把猎物找回来的猎狗的一种[ph]Labrador Retriever[ph]data retriever
retrospect	反顾，回顾 n./v.[ph]in retrospect
retrospective	回顾的，怀旧的[ph]conducted a retrospective analysis of
reveal	展现；揭露
revere	尊崇，尊敬 [ph]he is revered for his wisdom[ph]revere someone/something[st]be revered as a sacred place.[st]revere sb. for sth.
revered	可敬的，尊敬的[ph]a revered figure/place
reverently	虔诚地
irreverent	不尊敬的[ph]irreverent attitude towards[ph]irreverent remarks
irreverence	不尊敬[ph]show irreverence towards sth.
reverse	颠倒，翻转
reversible	可逆的（频率：70%）可翻转的（频率：30%）adj.[ph]the reversible reaction[st]The decision is not reversible[st]The jacket is reversible, so you can wear it with either side facing out.
irreversible	不能撤回的，不能取消的[ph]the action is irreversible
revise	修改，修订
revision	修订（频率：60%）复习（频率：40%）[ph]revise the manuscript/a document[st]The company decided to revise its marketing strategy[ph]revise their notes regularly
scarlet	猩红的，鲜红的[ph]a scarlet dress[ph]the sky turned scarlet[ph]scarlet roses
scavenger	清道夫，食腐动物scavenger 是一个名词，指的是食腐动物或食腐性生物，它们以死去的动物或其他有机物为食。在人类文化中，scavenger 也可以指那些在废弃物中寻找可回收物品或有价值物品的人。[ph]skillful scavengers
scenery	风景，景色
scenic	风景如画的[mean]scenic 是一个形容词，用来描述风景优美的、景色如画的、或景观壮丽的。[ph]take a scenic drive[ph]scenic trails and picturesque lakes[ph]a scenic valley surrounded by mountains and forests
scent	气味；香味[mean]名词：作为名词时，scent 表示气味、香味或气息，特指能被嗅觉察觉的味道。动词：作为动词时，scent 表示嗅到、闻到或察觉气味，也可以表示寻找或发现（如猎犬追踪猎物的气味）。[ph]the scent of freshly baked bread[ph]the dog scented something interesting[ph]scented the flowers in the garden
ascent	上升，攀登ascent 是一个常见的词汇，常用于描述爬山、攀登、飞机或气球等向上移动的行为或过程。[ph]climbers began their ascent[st]The hot air balloon made a smooth ascent into the sky[st]The aircraft started its ascent after takeoff
descent	降下，降落；世系，血统[ph]airplane began its descent[ph]starting our descent[st]He is of French descent
incandescent	遇热发光的, 白炽的[mean]incandescent 是一个形容词，指的是发光的、白热化的或炽热的，特指物体因高温而发出明亮的光。[ph]incandescent light bulb[ph]glowed incandescent[ph]an incandescent performance
scarcely	scarcely 是一个副词，表示几乎不、几乎没有，用来强调某事非常少或接近不存在。[st]The weather was so hot that there was scarcely any shade to find[st]She had scarcely started her new job[st]The book was so engaging that he could scarcely put it down[syn]"Scarcely"、"hardly"、"barely" 和 "almost not" 都有关于几乎不或几乎没有的意思，它们在使用上非常接近。"Scarcely" 和 "hardly" 通常可以互换使用，都表示几乎不或几乎没有。"Barely" 表示几乎不或刚刚够，强调程度更接近几乎不及格的程度。"Almost not" 表示几乎不，与 "scarcely" 和 "hardly" 的意思相同，但相对较口语化。总的来说，"scarcely"、"hardly"、"barely" 和 "almost not" 都表示几乎不或几乎没有，可根据语境和个人喜好选择使用。这些词汇用于强调某事物极少或接近不存在的情况。
scare	惊吓，使受惊
scatter	使分散，扩散[v.]使分散、使散开或使散布[n.]散乱的东西或人群[ph]scatter the leaves[ph]scatter the petals[ph]a scatter of people
scene	地点，现场；景色
revitalization	恢复活力，焕发新生（100%）[ph]a process of revitalization [ph]launched a revitalization program[syn]它们在语义上相似，强调给予某物新的能量和活力。Revitalization 更常用于描述城市、社区或经济的振兴过程。Rejuvenation 强调恢复年轻和活力，可以指身体、心灵或事物的复兴。Renewal 更强调重新开始或更新事物的过程。Reinvigoration 强调为某物注入新的活力和精神。
revive	恢复，复苏（60%）使重新活跃（40%）[ph]perform CPR to revive the unconscious swimmer.[st]A cup of coffee in the morning helps to revive my energy and wake me up.[st]The theater has plans to revive a classic play from the 1920s.
revival	复兴，复活[st]The city experienced an economic revival...[st]The fashion industry has seen a revival of vintage styles in recent years.[st]The concert was a revival of classic jazz music from the 1920s.[syn]Revival 更常用于描述文化、经济或社会的复兴。Rejuvenation 强调恢复年轻、活力和活跃。Renaissance 指的是文艺复兴时期或某一领域的文化复兴。Resurgence 强调某事物的再次兴起或激增。
revolt	反抗，起义，反叛 n./v.[ph]revolted against the tyrannical regime[ph]The taste and smell of the food revolted her[ph]The revolt against[syn]Revolt 更常用于描述群体或人民对政治、社会或经济状况的反抗，通常涉及大规模行动或事件。Rebel 强调个体或群体的反叛行为，有时与政治或社会体系发生冲突。Resist 指抵抗、反对或拒绝屈服于压迫或控制。Defy 表示公然违抗、藐视或挑战某种权威或规定。
revolutionize	彻底改变，颠覆 v.[st]The invention of the Internet revolutionized the way we communicate and access information.
revolution	革命 [ph]The French Revolution in the 18th century[syn]Revolution 是最常用的词汇，指代广义的社会变革或变革运动。Upheaval 强调剧烈的变动、动荡或混乱。Uprising 强调群体或人民的起义或反抗行动。Transformation 强调通过变革和转型来实现新的形态或状态。
revolutionary	革命性的、突破性的[ph]The invention of the Internet brought about revolutionary changes[ph]The revolutionary ideas of equality and liberty[syn]Revolutionary 更常用于描述与革命相关的领域、思想或行为，强调对现有秩序或体系的根本性改变。Innovative 强调创新和新颖，指的是引入新的想法、方法或技术。Groundbreaking 强调在某一领域或领域中具有开创性的、前沿的突破。Radical 指的是与传统观念、方法或做法彻底不同的、激进的。
rhetoric	修辞学，辞言运用（60%）浮夸的言辞，夸大其词（40%）[st]The politician's speech was filled with persuasive rhetoric to win over the voters.[ph]exaggerated rhetoric[st]The study of rhetoric helps individuals develop effective communication skills and persuasive techniques.
rhythm	节奏，韵律[ph]The poem has a beautiful rhythm that flows smoothly from line to line.[ph]The dance routine had a fast and energetic rhythm
rhythmic	有节奏感的，有规律的（100%)[st]The dancers moved in perfect synchrony, creating a rhythmic and captivating performance.[st]The waves crashed against the shore in a rhythmic pattern, creating a soothing sound.
rhythmical	有韵律的，有节奏的[st]The children clapped their hands in a rhythmical pattern, creating a playful beat.[st]The poet's words flowed in a rhythmical manner, captivating the listeners with their musicality.[syn]Rhythmical 是 rhythm 的形容词形式，与 rhythmic 含义相同。
ridge	山脊、脊梁（70%）脊线、脊状物（30%）[ph]hike along the ridge[ph]The roof of the house had a ridge
ridiculous	荒唐的，可笑的
ridicule	嘲笑、讥讽（80%）被嘲笑、被讥讽（20%）v./n.[ph]ridicule the teacher/the idea[ph]became the target of ridicule[st]The politician faced widespread ridicule for his controversial statement
rifle	步枪（70%）射击（30%） n./v.[ph]carried his rifle[ph]took aim with his rifle[ph]rifled through his bag/the old documents
rift	裂缝、裂隙（50%）分裂、分歧（30%）不和、矛盾（20%)[st]The earthquake caused a deep rift in the ground[st]The political party experienced a rift within its members[st]The ongoing rift between the two neighbors has resulted in strained diplomatic relations.
drift	漂移、漂流（40%）移动方向的变化（30%）飘移、移动（30%） n./v.[ph]drift of ocean currents[ph]drift of the conversation[ph]leaves drifted down[ph]boat started to drift[syn]Drift 更常用于描述物体或人无意识地随着外部力量或环境而移动或改变方向。Float 强调轻轻漂浮或飘浮在液体或空气中的移动。Glide 强调平稳地、优雅地移动或滑行，通常用于描述鸟或滑翔器的运动。Shift 指的是移动或变化位置、方向或态度，强调有意识地改变或转移。
driftwood	漂流木[ph]pieces of driftwood[ph]used/gathered driftwood[syn]Driftwood 是特指被水流漂移而来的木材或树木的残余部分。它通常是被海洋、河流或湖泊的水流冲刷、漂浮和带来的木材。Floatwood 和 washed-up wood 可以作为 driftwood 的同义词，都指的是漂流木。
snowdrift	积雪堆[ph]deep/massive snowdrift[ph]playing in the snowdrifts[syn]Snowdrift、snow mound 和 snow bank 都表示积雪堆。它们形容被风吹积而形成的堆积的雪。Snowdrift 是最常用的词汇，强调雪堆的形成和堆积。Snow mound 和 snow bank 指的是积雪的堆积，常用于形容堆积成小山或堤坝状的雪。
rigid	刚性的、僵硬的（60%）死板的、不易弯曲或改变的（40%）[ph]rigid structure[ph]rigid posture[ph]rigid policies and procedures[syn]Rigid 是最常用的词汇，可以用于描述物体的刚性或僵硬性，也可以用于描述人的态度或规定的死板性。Stiff 侧重于物体的僵硬和缺乏弯曲或弹性。Inflexible 和 unbending 强调对变化或改变的抵抗，通常用于描述人的思想、行为或立场。
frigid	寒冷的、冰冷的（70%）冷漠的、冷淡的（30%）[ph]frigid temperatures[ph]frigid response[ph]frigid relationship
rigidity	刚性、僵硬（70%）死板、不灵活（30%）[ph]rigidity of the steel beams[ph]sense of rigidity[ph]rigidity in sticking to beliefs[syn]Rigidity、stiffness、inflexibility 和 rigour 都表示刚性、僵硬或死板。它们描述了物体、态度或规则的刚性和缺乏弹性。Rigidity 是最常用的词汇，可用于描述物体的刚性或僵硬性，也可用于描述人的态度或规则的死板性。Stiffness 侧重于物体的僵硬和缺乏弯曲或弹性。Inflexibility 和 rigour 强调对变化或适应性的缺乏，通常用于描述人的思想、行为或规定的僵化。
rigorous	严格的、严峻的（60%）严密的、严谨的（40%）[ph]rigorous academic standards[ph]rigorous experiment[ph]rigorous challenge[syn]Rigorous、strict、demanding 和 exacting 都表示严格的、严峻的或严密的。它们形容要求、标准或过程的严格性和苛求。Rigorous 是最常用的词汇，强调对标准、要求或过程的严格和严谨。Strict 指的是严格遵守规定或标准，通常用于描述规则、法律或纪律。Demanding 和 exacting 强调对要求的苛求，通常用于描述任务、工作或人的性格。
rigor	严格、严密（60%）严酷、严峻（40%） n.[ph]with rigor and attention to detail[ph]the rigor of military training[ph]demanded rigor from the students[syn]Rigor、strictness、rigor mortis 和 severity 都表示严格、严密或苛刻。它们描述了要求、标准或状态的严格性。Rigor 是最常用的词汇，强调严格和严谨，通常用于描述学术、科学或研究。Strictness 指的是对规则、法律或纪律的严格遵守，强调执行的严密性。Rigor mortis 指的是尸体僵硬的状态，是死亡后肌肉僵硬的一种现象。Severity 强调严重或严酷，通常用于描述困境、惩罚或严厉的条件。
rinse	用清水冲洗；漱
riot	骚乱、暴动（80%）动乱、混乱（20%） n./v.[ph]violent riot, control the riot[ph]begin to riot, sb. rioted
rip	撕裂、剥离（60%）撕开、划开（40%）v.[ph]rip the paper, ripped the branches off the trees, accidentally ripped her dress[syn]Rip、tear、rend 和 slash 都表示撕裂、剥离或撕开。它们描述了物体的受损或被力量分离的过程。Rip 是最常用的词汇，可以用于描述轻微或较大范围的撕裂或剥离。Tear 和 rend 强调用力或外力引起的剧烈撕裂，通常用于形容材料、纸张或织物的撕裂。Slash 指的是用利器或锋利物切开或划开，通常用于形容利器或刀具的动作。
drip	滴落、滴水（70%）滴水声（30%)[v.]water dripped from the faucet; rain dripped from the leaves[n.]the constant drip from the ceiling; She could hear the soothing drip of water in the fountain.
dripstone	滴水石 cn.[syn]Dripstone、stalactite 和 stalagmite 都是指洞穴中的石灰石沉积物。它们都是由于滴水中的矿物质沉积形成的。然而，它们在洞穴中的形成位置和方式不同。Stalactite 是从洞穴顶部悬挂下来的石灰石柱，由滴落的矿物质形成；而 stalagmite 是从地面上升的石灰石柱，由地面上的滴水沉积形成。Dripstone 这个词汇通常用作较为泛指的概念，可包含 stalactite 和 stalagmite。
ripe	熟的；成熟的
ripen	（使）成熟[ph]fruits ripen fully;bananas will ripen faster;skills and talents began to ripen
risky	危险的，冒险的
frisky	活泼的，欢闹的[mean]frisky 是一个形容词，通常用来形容动物或人活泼、欢快、调皮或兴奋的状态。[st]The puppy was feeling frisky and ran around the backyard[ph]frisky children playing tag[syn]Frisky、playful、lively 和 mischievous 都表示活泼、欢快或调皮。它们通常用于描述动物或人的行为、性格或状态。Frisky 强调活泼、欢快和有趣的状态，特别适用于形容动物的活跃玩耍。Playful 侧重于嬉戏、玩耍和有趣的行为，可以用于形容孩子或动物的欢乐玩耍。Lively 表示充满生气和活力，可用于形容人、动物或场景的生动和活跃。Mischievous 强调有点调皮、淘气和捣蛋，通常用于形容孩子或动物的捣蛋行为。
briskness	[mena]briskness 是一个名词，表示活泼、轻快、迅速或清新的特性或状态。[ph]The briskness of the morning air;need for briskness and precision;briskness of her response
rite	仪式[ph]traditional religious rites;initiation rite;funeral rite[syn]Rite、ceremony、ritual 和 observance 都表示仪式、典礼或仪式行为。它们描述了按照一定规则和传统进行的庆祝、纪念或宗教仪式。Rite 是最常用的词汇，通常用来指宗教仪式、传统仪式或特定的礼仪行为。Ceremony 侧重于正式的、庄重的或隆重的仪式，可用于描述婚礼、毕业典礼或重要场合的庆祝活动。Ritual 也指宗教或传统的仪式，强调按照特定的仪式程序和步骤进行。Observance 用于形容遵守传统或纪念的行为，强调遵循规定或礼节。
ritual	[mean]ritual 是一个名词，表示仪式、典礼或仪式性的行为。[st]The priest performed the ancient ritual to bless the newborn baby.[st]traditional rituals to honor the gods
rival	比得上，与...相匹敌 v.[ph]rival each other in their efforts[ph]rival those of the most experienced professionals[syn]Rival、competitor、adversary 和 compete 都表示竞争对手或竞争。它们用于描述在竞争中相互对抗或竞争的个体或团体。Rival 是最常用的词汇，强调在竞争中与其他人或组织相对抗，可以用于形容在商业、体育或其他领域的竞争。Competitor 侧重于与其他个体或团体在某一方面的竞争，通常用于商业竞争或比赛。Adversary 指对手或敌手，侧重于敌对或敌对立场，常用于形容比赛或竞争中的对手。Compete 是一个动词，表示参加竞争或争夺，描述了参与竞争或比赛的行为。
rivalry	竞争；敌对状态 n.[ph]intense rivalry between the two companies/political parties;passionate rivalry among the fans;[syn]Rivalry、competition、contention 和 conflict 都表示竞争、对抗或敌对关系。它们用于描述不同个体或团体之间的争夺、对抗或敌对的状态。Rivalry 是最常用的词汇，强调在竞争中的敌对或竞争关系，通常用于形容长期、激烈的竞争，也可指公司、运动队或个人之间的竞争。Competition 指竞争或比赛，侧重于在某种资源、荣誉或目标上的竞争。Contention 指争夺或争议，强调在观点、权力或地位上的竞争。Conflict 是一个更广泛的词汇，表示冲突、对抗或战争，指不同利益或意见之间的冲突，也可以包含暴力或敌对的情况。
roam	漫游、漫步（50%）流浪、游荡（50%）v.[ph]roam the streets of the old city;roam around the park[syn]Roam、wander、stroll 和 wander around 都表示漫游、漫步、流浪或游荡。它们用于描述在某地或某个区域里自由地漫步或移动。Roam 是最常用的词汇，用于形容在广泛区域内漫游或漫步，强调自由的移动。Wander 也指漫步或游荡，但可能强调更随意、无目的性的移动。Stroll 强调悠闲、轻松的漫步，通常用于描述在公园、街道或城市等地方的闲逛。Wander around 表示在某地周围漫步或游荡，强调周围的环境和地点。
roar	吼，轰鸣
roast	v. 烤、烘烤（50%）挖苦、嘲笑（50%） n. 烤肉、烘焙食品（100%）[v.]roast marshmallows over the campfire;roast the chicken in the oven[n.]a delicious roast turkey;a variety of fresh roasts
robust	表示强壮的、健壮的、强健的或稳健的。[ph]robust physique and training regimen;robust financial performance;robust immune system[syn]Robust、strong、sturdy 和 vigorous 都表示强壮的、健壮的、强健的或稳健的。它们用于形容有力、健康或强大的人、物体或情况。Robust 是最常用的词汇，强调健壮、强大和耐久，可用于描述人的体格、经济或系统的稳健性。Strong 侧重于力量、能力或性质的强大，适用于形容体力、意志力、感情或逻辑等方面的强大。Sturdy 指结实、坚固，强调物体的稳固和耐用性，通常用于形容家具、建筑或机械。Vigorous 表示有活力、精力充沛，用于形容行动、生长或活动的强大和充满活力。
rod	rod 是一个名词，有多个含义，可以表示细杆、竿、杆子，也可以指金属棒、测量尺、棍棒等。[ph]fishing rod;wooden rod;metal rod
role	角色，任务
roll	v. 滚动、转动（30%）滚、滚动前进（20%）
roost	栖息处、休息地（100%）[ph]a cozy roost on the tree branch;a safe roost for the pigeons during the night
rooster	公鸡
rotate	轮流
rotation	旋转
rote	死记硬背，生搬硬套 n.[ph]learne/memorize sth. by rote
rough	粗糙的；不平的
roughly	概略地；大致地
routine	常规，惯例 n.[ph]followed a daily routine of[ph]handles the routine tasks[ph]practiced their routine
routinely	例行公事地[ph]routinely practices[ph]routinely reviews
rubbery	橡胶似的，有弹性的
rubble	（一堆）碎石，瓦砾[ph]streets filled with rubble 街道上满是废墟[st]The ancient temple was reduced to rubble by the invading army during the war.[ph]clear the rubble 清理废墟
pebble	小圆石，小鹅卵石[st]The riverbed was covered with smooth pebbles of various sizes.
rudimentary	基本的；初步的，发展未完全的[ph]a rudimentary understanding[ph]rudimentary forms of communication[ph]rudimentary artistic expressions[mean]总的来说，"rudimentary" 是指在发展的早期阶段，还不够完善或未经深入发展的基本事物；"basic" 强调基本的组成部分或最简单的形式；"elementary" 强调初级或基础；"primitive" 强调原始、简陋或早期的形态。
rugged	高低不平的；崎岖的[mean]rugged 是一个形容词，通常用来形容地形、地势或表面特征，表示崎岖不平、粗糙或不平整的状态。也可以用来形容人或物体外表，表示坚固、粗犷或坚强。[ph]the rugged mountains[ph]a rugged face[ph]its rugged and durable construction
ruin	破坏，毁灭
ruins	废墟，遗迹
rumble	发出低沉的隆隆声 v.[st]The thunder rumbled in the distance[st]The train rumbled past
rupture	断裂，断绝 v./n.[st]The water pipe ruptured[ph]caused it to rupture[ph]rupture of their alliance
rural	农村的，乡下的，田园的[ph]a quiet rural village
urban	都市的
rust	锈，生锈
rustic	乡村的，乡下风格的[st]The cottage had a rustic charm with its wooden furniture and stone fireplace.[st]The rustic landscape was adorned with wildflowers and grazing sheep.[st]hey decided to have a rustic-themed wedding in a barn, surrounded by nature's beauty.
sac	（生物）囊，液囊[ph]The gallbladder stores bile in a small sac.[ph]The bee collected nectar and stored it in its honey sac.[st]The surgeon carefully removed the fluid-filled sac from the patient's lung.
sack	袋，麻袋
knapsack	(士兵或徒步旅行者用的帆布或皮制的)背包[ph]in his knapsack
sacred	宗教的；祭祀的
saddle	鞍子，马鞍[ph]adjusted the saddle[ph]placed the saddle
saga	英雄传奇[ph]a fantasy saga[ph]family's saga
sake	[mean]名词（缘由、目的、利益）含义的使用频率约为总使用频率的 60%。名词（日本米酒）含义的使用频率约为总使用频率的 40%。[ph]for everyone's sake[ph]a bottle of sake
salient	显著的，突出的[st]The most salient feature of the new smartphone is its advanced facial recognition technology.[st]The speaker highlighted the salient points of the research in her presentation."[ph]the salient aspects of
saline	含盐的，咸的 adj.[st]The saline solution is used to clean and irrigate wounds.[ph]saline soils[ph]a saline nasal spray
saliva	口水，唾液 n.[st]The smell of food triggered the flow of saliva in my mouth[st]Chewing stimulates the production of saliva, which aids in digestion[st]The doctor asked the patient to provide a saliva sample for testing.
salinity	盐度，盐分含量。通常用于描述液体（如海水或土壤）中所含盐分的浓度水平。[st]The salinity of seawater can vary depending on the location and climate.[st]High salinity in the soil can affect the growth of certain crops.[st]Researchers are studying the impact of changing salinity levels on marine ecosystems.
saltiness	咸味，盐味。指食物或液体中的盐分所带来的味道或味觉感受。[st]The soup lacked saltiness, so I added a pinch of salt to enhance the flavor.[st]He appreciated the saltiness of the sea breeze as he strolled along the beach.
desalination	脱盐，海水淡化。是指将海水或咸水中的盐分去除，以产生淡水的过程。[st]Many coastal regions rely on desalination plants to provide fresh water for their populations.[ph]Desalination technologies[st]The government invested in a large-scale desalination project to ensure water availability during droughts
sample	范例，样品
sanctimonious	假装圣洁的，装模作样的显示虔诚的。形容一个人故意表现得比实际更为虔诚、圣洁或道德高尚，通常是为了让他人对自己产生好感或印象。[st]She had a sanctimonious smile on her face while criticizing others' behavior.[st]His sanctimonious speeches about honesty were contradicted by his own dishonest actions.[st]Don't be fooled by his sanctimonious demeanor; he's not as virtuous as he pretends to be.
sanction	名词（制裁、处罚）含义的使用频率约为总使用频率的 50%。[ph]imposed sanctions on[ph]received official sanctions
sanctuary	[mean]名词（庇护所）含义的使用频率约为总使用频率的 60%。名词（避难权）含义的使用频率约为总使用频率的 10%。[st]The animal rescue organization provided a sanctuary for injured and abandoned animals.[st]Refugees sought sanctuary in neighboring countries
infirmary	医院, 医务室<美>养老院, 救济院[mean]医务室，医院，医疗所。通常指一个设备简单、规模较小的医疗机构，如校园医务室、军队医疗所或监狱医院。[st]The school infirmary provides basic medical care to students and staff[st]he injured soldiers were taken to the infirmary for treatment.[st]Inmates who require medical attention are sent to the prison infirmary.[syn]"infirmary"、"clinic"和"medical center" 都可以指医疗机构，但 "infirmary" 更常用于描述规模较小的医疗设施，特别是校园、军队或监狱等地方设立的。"clinic" 可以指医生的诊所或非常简单的医疗机构。而 "medical center" 则更普遍地指大型的医疗机构，可能提供更全面的医疗服务。
sandy	沙的，多沙的[ph]the sandy beach[ph]vast sandy deserts.[ph]Walking on the sandy path
sanitation	卫生，卫生设施，公共卫生。指与保持环境清洁、预防疾病传播和提供健康条件相关的措施和设施。 n.[st]"Proper sanitation is essential for preventing the spread of infectious diseases." (翻译：适当的卫生对于预防传染病的传播至关重要。)[st]"The city invested in improving sanitation by installing more public trash bins." (翻译：该市投资改善卫生状况，增设了更多的公共垃圾桶。)[st]"The organization focuses on providing clean water and sanitation facilities to rural communities." (翻译：该组织致力于为农村社区提供清洁水和卫生设施。)
sanitary	卫生的，清洁的，符合卫生标准的。用来形容与保持环境清洁和健康有关的条件、设施或措施。[ph]maintain sanitary conditions in food handling and preparation areas.[ph]The hospital follows strict sanitary protocols[ph]promote sanitary practices in public places.
sap	名词（树液）含义的使用频率约为总使用频率的 40%。名词（精力）含义的使用频率约为总使用频率的 30%。[st]The maple tree produces sweet sap that is used to make maple syrup.[st]She woke up feeling full of sap[syn]"sap" 和 "juice" 都可以指树液或液体，但 "sap" 通常用于指树木流出的液体，而 "juice" 更广泛地用于液体的含义，可以指果汁等。"sap" 和 "vitality" 都可以指精力或活力，但 "sap" 带有逐渐消耗的含义，而 "vitality" 更强调生命力或活力的程度。"sap" 和 "weaken"、"drain" 都可以表示削弱或耗尽，但 "sap" 强调逐渐削弱或耗尽。
